question_id,label
262967003,4
539906001,4
542950003,3
330907034,7
269249004,8
395341003,8
151959002,0
531396000,7
137847000,5
16111007,5
203433003,7
530284010,7
268617001,4
2066002,5
265273003,4
352041003,4
271231002,5
154869002,4
148474012,4
19926000,7
395337001,6
280923002,0
440049000,3
277352002,5
353098034,7
534543003,2
415435000,7
527183001,5
271803001,2
406543005,6
133508000,0
543376013,5
8024002,2
416048000,4
525501007,8
43774027,2
16669004,9
540617000,3
309404016,2
527342006,7
10871000,4
526247000,3
279479008,3
538604001,9
68030001,1
178957001,5
396247002,8
141207002,8
264020000,1
526085000,6
134620000,8
281280000,9
397819006,4
4259011,2
147539001,5
145313003,6
157198001,2
176720002,0
136970006,8
539319001,5
235740000,4
405291001,2
397105003,9
14113000,0
132310010,1
534107002,5
407548000,4
306440000,4
408333000,1
140738006,7
10369000,3
263764118,7
8429001,1
285473002,0
148541010,1
416426004,6
529019007,3
525529000,6
262545002,0
519489002,1
350069002,6
135163001,4
263783000,9
271254000,6
16142006,4
109156000,1
405057017,7
148646003,0
541706000,6
284732008,2
126681000,8
19489000,4
269232004,1
277145007,5
279182065,9
404114006,9
14034003,3
402184000,8
529353005,5
538182002,1
532638001,6
156026004,8
534892002,2
249384004,1
268195013,9
274477000,3
400829000,0
271890011,6
279511014,5
139344005,8
529532001,5
4714001,3
78684006,0
74253000,9
279511020,1
545930000,3
45280001,5
269381008,4
132002000,6
541264001,5
142953002,5
12784004,3
134697002,0
1518002,6
279182041,9
460055003,0
274690002,4
17602001,1
527656004,0
150385000,9
1639003,0
263189000,4
270275000,8
276247003,6
272282001,6
135626000,7
563921002,9
276711075,7
133114003,8
537122009,1
409739002,1
397105002,9
274386002,0
13728000,0
406805002,2
278793001,1
264079003,6
513099000,5
581001,5
527183002,5
263764000,7
22193000,2
397860003,2
395120002,9
255937015,5
1510006,6
138461000,3
134294000,4
370000,6
402531006,7
279182026,9
297157012,3
401847002,8
9771004,7
445628008,1
152286012,4
281742004,4
400560012,3
140473000,0
152614002,4
67656000,0
20742002,7
144056006,7
280622013,0
151053005,3
149179023,9
9760000,9
405864002,3
154349011,0
264158000,6
15652002,1
146933002,3
274537004,3
282952001,0
131534002,7
133281011,3
537825014,2
491525019,4
144847000,6
142378000,6
146121001,3
7535020,0
459659000,1
484201006,9
403868000,6
149253004,1
279182038,9
265708000,9
395958001,9
529360007,1
5688000,8
277145004,5
271729000,0
206109000,9
393251003,2
393577002,7
405013009,5
399241010,0
279182021,9
530713002,2
541456002,6
153985000,9
265843001,3
22116000,7
9771002,7
140114005,2
88270003,8
403335002,7
413374000,3
144002,5
545930002,3
415222002,9
151658000,0
398535005,8
21883009,4
145479003,8
276006002,7
408735001,0
393661021,5
5483002,3
406855000,4
7650000,0
526782001,5
274633002,6
149921001,1
148780000,0
277677003,8
408048003,6
10881002,1
567721004,9
150773000,0
529511003,6
409949004,0
109409002,1
6846000,4
264179001,4
404007001,5
400377003,2
142686001,1
405683003,5
133937001,4
169003022,4
460055005,0
403271000,0
132041002,6
395432000,5
265745004,9
393854001,6
137836002,5
282899001,9
570598003,6
275938001,4
489107019,4
154212006,2
308103004,8
141862040,1
279182040,9
524677001,5
269490001,0
399885011,0
283965001,4
276806000,7
539359004,1
542602003,5
272797002,4
141448009,6
111945000,1
570518007,6
278555001,0
1906005,7
279182063,9
352288004,7
8383002,9
393661046,5
408460000,1
7535002,0
436016,2
413628004,2
44446002,6
396625010,5
17877001,2
279477001,3
168239003,3
138749000,0
8789002,6
550239034,2
13172002,7
547944001,6
149179006,9
3242002,9
527623001,1
43774001,2
530713000,3
524975003,2
157198002,2
144484005,1
21883007,4
413868006,4
270636008,7
279182029,9
397976000,5
277145012,5
399841001,1
417261005,0
241527002,9
13874000,7
398596008,0
152942001,7
706004,5
9425000,2
316001004,1
268195016,9
218606001,5
403916000,5
282228008,8
